"Number and percentage of the immigrant population, Canada, 1871 to 2021",
Canada,
Census years,Number
2017-2018,303325
2018-2019,313601
2019-2020,284157
2020-2021,226308
2021-2022,492984
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Symbols:,
..,not available for a specific reference period
...,not applicable
E,use with caution
F,too unreliable to be published
r, revised
x,suppressed to meet the confidentiality requirements of the Statistics Act
rE,Revised. Use with caution.
,
"Source: Statistics Canada, 2021 Census of Population.",
,
How to cite: Statistics Canada. 2022. Focus on Geography Series. 2021 Census.,
"Statistics Canada Catalogue no. 98-404-X2016001. Ottawa, Ontario. Release date: February 9, 2022. Updated on: November 30, 2022.",
http://www12.statcan.gc.ca/census-recensement/2021/as-sa/fogs-spg/index.cfm?Lang=E,